speciesId	compartment	initialConcentration	solver
cyt_abs__ribosome_	Cytoplasm	1897.371866	Deterministic
nuc_prot_i__P53_	Nucleus	296.618651	Deterministic
nuc_prot_a__P53_	Nucleus	6.24613433	Deterministic
nuc_prot__MDM2_1_	Nucleus	205.6185213	Deterministic
nuc_prot__PPM1D_1_	Nucleus	2.230730408	Deterministic
nuc_prot_a__ATM_	Nucleus	0.0	Deterministic
nuc_prot_a__ATR_1_	Nucleus	0.0	Deterministic
nuc_abs__MDM2delay1_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay2_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay3_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay4_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay5_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay6_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay7_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay8_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay9_	Nucleus	6.24613433	Deterministic
nuc_abs__MDM2delay10_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay1_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay2_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay3_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay4_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay5_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay6_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay7_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay8_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay9_	Nucleus	6.24613433	Deterministic
nuc_abs__WIP1delay10_	Nucleus	6.24613433	Deterministic
nuc_prot__BRCA2_	Nucleus	0.8217966444	Deterministic
nuc_prot__MSH6_1_	Nucleus	45.50365668	Deterministic
nuc_prot__MGMT_	Nucleus	120.2551816	Deterministic
nuc_abs__DNADoubleStrandBreak_	Nucleus	0.0002439506892	Deterministic
nuc_abs__DNASingleStrandBreak_	Nucleus	6.05e-06	Deterministic
nuc_cong__p_p_AKT__MDM2_1_	Nucleus	0.0	Deterministic
nuc_prot__p_MDM2_1_	Nucleus	0.0	Deterministic
nuc_prot__ARF_1_	Nucleus	0.0	Deterministic
nuc_prot__MDM4_1_	Nucleus	0.02721568768	Deterministic
nuc_prot_a__P53__MDM4_1_	Nucleus	0.0	Deterministic
nuc_prot_i__ATM_	Nucleus	1.503759502	Deterministic
nuc_prot_i__ATR_1_	Nucleus	2.400324008	Deterministic
nuc_prot__RB_	Nucleus	7983.140007	Deterministic
nuc_prot__pT373_RB_	Nucleus	0.5354928863	Deterministic
nuc_prot__pT373_pS807_pS811_RB_	Nucleus	0.006971196379	Deterministic
nuc_cong__E2F_	Nucleus	1117.207529	Deterministic
nuc_cong__CCND_	Nucleus	0.2333115979	Deterministic
nuc_cong_i__CCND__CDK4_	Nucleus	0.5891171682	Deterministic
nuc_cong__CCND__CDK4_	Nucleus	3.85369761	Deterministic
nuc_cong__CCND__CDK4__CDN1B_	Nucleus	0.787522147	Deterministic
nuc_cong__CCNE_	Nucleus	0.2553392305	Deterministic
nuc_cong_i__CCNE__CDK2_	Nucleus	0.8895689476	Deterministic
nuc_cong__CCNE__CDK2_	Nucleus	2.746655183	Deterministic
nuc_prot__SKP2_1_	Nucleus	11.40896301	Deterministic
nuc_cong__CCNE__CDK2__CDN1B_	Nucleus	1.122585115	Deterministic
nuc_prot__MPIP1_1_	Nucleus	141.2881402	Deterministic
nuc_prot_i__MPIP2_1_	Nucleus	49.17500389	Deterministic
nuc_prot_i__MPIP1_1_	Nucleus	16.02256602	Deterministic
nuc_prot_i__MPIP3_1_	Nucleus	55.29821475	Deterministic
nuc_prot__CCNA2_	Nucleus	4.029092509	Deterministic
nuc_prot_i__CCNA__CDK2_	Nucleus	14.03683866	Deterministic
nuc_prot__CCNA__CDK2_	Nucleus	5.235356085	Deterministic
nuc_prot__CCNA__CDK2__CDN1B_	Nucleus	1.283844951	Deterministic
nuc_prot__CDN1B_	Nucleus	20.43549408	Deterministic
nuc_prot_i__CADH1_1_	Nucleus	0.5985884632	Deterministic
nuc_prot_a__CADH1_1_	Nucleus	108.8028846	Deterministic
nuc_cong__p_E2F_	Nucleus	11.60507992	Deterministic
nuc_prot__pT187_CDN1B_	Nucleus	4.204625911	Deterministic
nuc_prot__MPIP2_1_	Nucleus	41.64971959	Deterministic
nuc_cong__CCNB_	Nucleus	3.443669431	Deterministic
nuc_cong_i__CCNB__CDK1_	Nucleus	3.901124927	Deterministic
nuc_cong__CCNB__CDK1_	Nucleus	0.6842719645	Deterministic
nuc_prot_i__CDC20_	Nucleus	71.16747301	Deterministic
nuc_prot_a__CDC20_	Nucleus	0.7301463448	Deterministic
nuc_prot__MPIP3_1_	Nucleus	9.403016576	Deterministic
nuc_prot__WEE1_1_	Nucleus	26.5188928	Deterministic
nuc_prot__pS123_WEE1_1_	Nucleus	16.74041512	Deterministic
nuc_cong__CCNB__CDK1__CDN1B_	Nucleus	0.08390062297	Deterministic
nuc_prot__CHK1_1_	Nucleus	0.1497720439	Deterministic
nuc_cong__RB__E2F_	Nucleus	8918.824124	Deterministic
nuc_cong__pT373_RB__E2F_	Nucleus	0.2991284689	Deterministic
nuc_prot__CDN1A_	Nucleus	20.87340931	Deterministic
nuc_cong__CCND__CDK4__CDN1A_	Nucleus	0.4826389818	Deterministic
nuc_cong__CCNE__CDK2__CDN1A_	Nucleus	0.2293282558	Deterministic
nuc_cong__CCNA__CDK2__CDN1A_	Nucleus	0.2622714049	Deterministic
nuc_cong__CCNB__CDK1__CDN1A_	Nucleus	0.01713970232	Deterministic
exc_prot__TNF10_1_	Extracellular	0.0	Deterministic
cyt_cong__TNFRSF10_	Cytoplasm	8.031117651	Deterministic
cyt_cong__TNF10_1__TNFRSF10_	Cytoplasm	0.0	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10_	Cytoplasm	0.0	Deterministic
cyt_prot__CFLAR_1_	Cytoplasm	0.5259203514	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10__CFLAR_1_	Cytoplasm	0.0	Deterministic
cyt_cong_i__CASP8_	Cytoplasm	26.5263809	Deterministic
cyt_cong_a__TNF10_1__TNFRSF10__CASP8_	Cytoplasm	0.0	Deterministic
cyt_cong_a__CASP8_	Cytoplasm	0.0005051866364	Deterministic
cyt_prot__BFAR_1_	Cytoplasm	0.8411539614	Deterministic
cyt_cong__CASP8__BFAR_1_	Cytoplasm	0.001306372322	Deterministic
cyt_cong_i__CASP3_	Cytoplasm	79.9328682	Deterministic
cyt_cong__CASP8__CASP3_	Cytoplasm	0.006376929866	Deterministic
cyt_cong_a__CASP3_	Cytoplasm	0.0002025657987	Deterministic
cyt_prot_i__CASP6_	Cytoplasm	47.67662922	Deterministic
cyt_cong__CASP3__CASP6_	Cytoplasm	3.05e-08	Deterministic
cyt_prot_a__CASP6_	Cytoplasm	0.0005733205948	Deterministic
cyt_cong__CASP6__CASP8_	Cytoplasm	1.44e-07	Deterministic
cyt_prot__XIAP_1_	Cytoplasm	5.269689424	Deterministic
cyt_prot__CASP3__XIAP_	Cytoplasm	6.68e-05	Deterministic
cyt_prot__PARP1_1_	Cytoplasm	639.6157705	Deterministic
cyt_cong__CASP3__PARP1_	Cytoplasm	4.06e-06	Deterministic
cyt_prot__cl_PARP1_	Cytoplasm	1.619665788	Deterministic
cyt_prot__BID_1_	Cytoplasm	50.47541201	Deterministic
cyt_cong__CASP8__BID_1_	Cytoplasm	7.31e-05	Deterministic
cyt_prot__cl_BID_1_	Cytoplasm	1.6e-06	Deterministic
cyt_cong__BCL2_	Cytoplasm	12.4806229	Deterministic
cyt_cong__cl_BID_1__BCL2_	Cytoplasm	5.62e-05	Deterministic
cyt_prot_i__BAX_1_	Cytoplasm	88.22685878	Deterministic
cyt_prot__cl_BID_1__BAX_1_	Cytoplasm	4.46e-08	Deterministic
cyt_prot_a__BAX_1_	Cytoplasm	0.0001441807424	Deterministic
mit_prot_a__BAX_1_	Mitochondria	0.001926774373	Deterministic
mit_cong__BCL2_	Mitochondria	1.780761749	Deterministic
mit_cong__BAX_1__BCL2_	Mitochondria	0.009670088024	Deterministic
mit_prot_a__BAX_1__BAX_1_	Mitochondria	0.0001173834856	Deterministic
mit_cong__BAX_1__BAX_1__BCL2_	Mitochondria	0.0005891237988	Deterministic
mit_prot_a__BAX_1__BAX_1__BAX_1__BAX_1_	Mitochondria	4.36e-07	Deterministic
mit_cong__BAX_1__BAX_1__BAX_1__BAX_1__BCL2_	Mitochondria	2.19e-06	Deterministic
mit_abs_i__pore_	Mitochondria	2259.969091	Deterministic
mit_abs__BAX_1__BAX_1__BAX_1__BAX_1__pore_	Mitochondria	3.11e-06	Deterministic
mit_abs_a__pore_	Mitochondria	0.0003110284153	Deterministic
mit_prot__CY1_	Mitochondria	15542.58969	Deterministic
mit_abs__pore__CY1_	Mitochondria	0.02779283998	Deterministic
mit_prot_i__CY1_	Mitochondria	0.2778550028	Deterministic
mit_prot__DBLOH_1_	Mitochondria	1450.93993	Deterministic
mit_abs__pore__DBLOH_1_	Mitochondria	0.002594531676	Deterministic
mit_prot_i__DBLOH_1_	Mitochondria	0.02083931858	Deterministic
cyt_prot__CY1_	Cytoplasm	0.01944728057	Deterministic
cyt_prot__APAF_1_	Cytoplasm	0.09689042078	Deterministic
cyt_prot__CY1__APAF_1_	Cytoplasm	2.98e-06	Deterministic
cyt_prot_a__APAF_1_	Cytoplasm	0.01099338724	Deterministic
cyt_prot__PCSK9_1_	Cytoplasm	3.457423761	Deterministic
cyt_prot_a__APAF_1__PCSK9_1_	Cytoplasm	0.003099873576	Deterministic
cyt_prot_a__APAF_1__PCSK9_1__CASP3_	Cytoplasm	0.003541869409	Deterministic
cyt_prot__DBLOH_1_	Cytoplasm	0.001101638753	Deterministic
cyt_prot_a__APAF_1__PCSK9_1__XIAP_	Cytoplasm	0.1004381305	Deterministic
cyt_prot__DBLOH_1__XIAP_	Cytoplasm	0.1249285759	Deterministic
cyt_cong__u_CASP3_	Cytoplasm	2.870304688	Deterministic
cyt_prot__BAD_1_	Cytoplasm	0.09507959995	Deterministic
cyt_prot__BBC3_1_	Cytoplasm	0.02909906781	Deterministic
cyt_prot__APR_1_	Cytoplasm	0.005557139906	Deterministic
cyt_cong__BCL2__BAD_	Cytoplasm	3.344393378	Deterministic
cyt_cong__BCL2__BBC3_1_	Cytoplasm	1.023550054	Deterministic
cyt_cong__BCL2__APR_1_	Cytoplasm	0.1943622176	Deterministic
cyt_prot__B2L11_1_	Cytoplasm	0.06038534651	Deterministic
cyt_prot__B2L11_1__BAX_1_	Cytoplasm	8.41e-08	Deterministic
cyt_cong__BCL2__B2L11_1_	Cytoplasm	2.124034525	Deterministic
cyt_cong__p_p_MAPK__B2L11_1_	Cytoplasm	0.0005970032356	Deterministic
cyt_prot__pS69_B2L11_1_	Cytoplasm	0.1058178115	Deterministic
cyt_cong__p_p_AKT__BAD_	Cytoplasm	3.36e-05	Deterministic
cyt_prot__p_BAD_	Cytoplasm	0.8912808864	Deterministic
cyt_cong__p_p_MAPK__BAD_	Cytoplasm	0.0009400569297	Deterministic
exc_prot__EGF_1_	Extracellular	0.0	Deterministic
exc_prot__NRG1_1_	Extracellular	0.0	Deterministic
exc_prot__HGF_1_	Extracellular	0.0	Deterministic
exc_prot__PDGFB_1_	Extracellular	0.0	Deterministic
exc_cong__FGF_	Extracellular	0.0	Deterministic
exc_cong__IGF_	Extracellular	0.0	Deterministic
exc_prot__INS_1_	Extracellular	0.0	Deterministic
cyt_prot__EGFR_1_	Cytoplasm	50.1219597	Deterministic
cyt_prot__pT693_EGFR_1_	Cytoplasm	4.954806943	Deterministic
cyt_prot__ERBB2_1_	Cytoplasm	3.805080167	Deterministic
cyt_prot__pT701_ERBB2_1_	Cytoplasm	0.3761707462	Deterministic
cyt_prot__ERBB3_1_	Cytoplasm	1.739750707	Deterministic
cyt_prot__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pT699_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__MET_1_	Cytoplasm	8.573223223	Deterministic
cyt_cong__PGFRB_	Cytoplasm	0.2296760081	Deterministic
cyt_cong__FGFR_	Cytoplasm	0.1867129635	Deterministic
cyt_prot__IGF1R_1_	Cytoplasm	0.02181478989	Deterministic
cyt_prot__INSR_1_	Cytoplasm	0.02979621395	Deterministic
cyt_prot__EGFR_1__EGFR_1_	Cytoplasm	2.512172788	Deterministic
cyt_prot__EGFR_1__ERBB2_1_	Cytoplasm	0.1907151857	Deterministic
cyt_prot__EGFR_1__ERBB3_1_	Cytoplasm	0.08719839388	Deterministic
cyt_prot__EGFR_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB2_1__ERBB2_1_	Cytoplasm	0.01447848456	Deterministic
cyt_prot__ERBB2_1__ERBB3_1_	Cytoplasm	0.006619809285	Deterministic
cyt_prot__ERBB2_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB3_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB4_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__MET_1__MET_1_	Cytoplasm	0.07349967525	Deterministic
cyt_cong__FGFR__FGFR_	Cytoplasm	3.49e-05	Deterministic
cyt_prot__IGF1R__IGF1R_	Cytoplasm	0.7268990861	Deterministic
cyt_prot__INSR_1__INSR_1_	Cytoplasm	0.3089398557	Deterministic
cyt_prot__EGF_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__MET_1_	Cytoplasm	0.0	Deterministic
cyt_cong__PDGFB_1__PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__FGF__FGFR_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__ERBB2_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB2_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB2_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB4_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__MET_1__MET_1_	Cytoplasm	0.0	Deterministic
cyt_cong__PDGFB_1__PGFRB__PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__FGF__FGFR__FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__IGF__IGF1R__IGF1R_	Cytoplasm	0.0	Deterministic
cyt_prot__INS_1__INSR_1__INSR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__EGF_1__EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__EGFR_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB4_1__NRG1_1__ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__MET_1__HGF_1__MET_1_	Cytoplasm	0.0	Deterministic
cyt_cong__PDGFB_1__PGFRB__PDGFB_1__PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__FGF__FGFR__FGF__FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__IGF__IGF1R__IGF__IGF1R_	Cytoplasm	0.0	Deterministic
cyt_prot__INS_1__INSR_1__INS_1__INSR_1_	Cytoplasm	0.0	Deterministic
cyt_cong__EGFR_1__p_p_MAPK_	Cytoplasm	0.4955557535	Deterministic
cyt_cong__ERBB2_1__p_p_MAPK_	Cytoplasm	0.03762098543	Deterministic
cyt_cong__ERBB4_1__p_p_MAPK_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1196_pY1222_pY1248_ERBB2_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__EGF_1__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__ERBB3_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY1196_pY1222_pY1248_ERBB2_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__pY992_pY1068_pY1086_pY1148_pY1174_EGFR_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__ERBB3_1__NRG1_1__pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1__NRG1_1__pY1056_pY1162_pY1284_pY1056_pY1162_pY1284_ERBB4_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1__pY1234_pY1235_pY1234_pY1235_MET_1_	Cytoplasm	0.0	Deterministic
cyt_prot__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1__HGF_1__pY1234_pY1235_pY1234_pY1235_MET_1_	Cytoplasm	0.0	Deterministic
cyt_cong__PDGFB_1__p_PGFRB__PDGFB_1__p_PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__PDGFB_1__p_PGFRB__p_PGFRB_	Cytoplasm	0.0	Deterministic
cyt_cong__FGF__p_FGFR__FGF__p_FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__FGF__p_FGFR__p_FGFR_	Cytoplasm	0.0	Deterministic
cyt_cong__IGF__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R__pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_pY980_pS982_pY1161_pY1165_pY1166_pY1280_pY1281_IGF1R_	Cytoplasm	0.0	Deterministic
cyt_prot__INS_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1__pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_pY992_pY999_pY1011_pY1185_pY1189_pY1190_pY1314_pY1348_pY1355_INSR_1_	Cytoplasm	0.0	Deterministic
